expedition_id,mean_age,member_count
AMAD08314,44.5,4
AMAD08315,42,6
AMAD08316,43,3
AMAD08317,34.8,5
AMAD08318,43.214,14
AMAD08319,30.889,9
AMAD08320,33,4
AMAD08321,43.333,3
AMAD08322,41.5,6
AMAD08323,41.333,6
AMAD08324,42,6
AMAD08325,33.4,5
AMAD08326,44.5,2
AMAD08327,39.056,18
AMAD08328,35.875,8
AMAD08329,38.636,11
AMAD08330,40.2,20
AMAD08331,42.348,23
AMAD08332,41.75,4
AMAD08333,45.5,2
AMAD08334,33,1
AMAD08335,38.667,6
AMAD08336,26,2
AMAD08337,32.857,7
AMAD08338,37.75,4
AMAD08339,38.5,2
AMAD08340,38.333,15
AMAD08341,35,5
AMAD08342,36,2
AMAD08343,35.6,5
AMAD08344,37.5,2
AMAD08401,42.25,8
AMAD09101,41,3
AMAD09102,41.6,5
AMAD09103,42,4
AMAD09104,39.5,4
AMAD09105,31.25,4
AMAD09106,34,2
AMAD09301,35.8,5
AMAD09302,39.8,5
AMAD09303,35.444,9
AMAD09304,36.455,11
AMAD09305,37.5,4
AMAD09306,36,2
AMAD09307,48.667,3
AMAD09308,40.889,9
AMAD09309,37.5,2
AMAD09310,46,10
AMAD09311,34.333,9
AMAD09312,32.8,5
AMAD09313,32,1
AMAD09314,31.667,3
AMAD09315,42,2
AMAD09316,39.125,16
AMAD09317,36.5,4
AMAD09318,30.333,3
AMAD09319,35,2
AMAD09320,31,1
AMAD09321,32.833,6
AMAD09322,35,3
AMAD09323,35.857,7
AMAD09324,36.222,9
AMAD09325,39.471,17
AMAD09326,45.5,4
AMAD09327,37.5,2
AMAD09328,38.857,7
AMAD09329,35,2
AMAD09330,36.5,10
AMAD09331,44.667,6
AMAD09332,30.5,2
AMAD09333,45.5,6
AMAD09334,35,9
AMAD09335,41.5,4
AMAD09336,38.333,6
AMAD09337,52,2
AMAD09338,42,7
AMAD09339,32.5,2
AMAD09340,41.7,10
AMAD09341,38.333,9
AMAD09342,44.75,8
AMAD09343,44.5,2
AMAD09344,37,1
AMAD09345,38,3
AMAD09346,45.5,2
AMAD09347,35,2
AMAD09348,23,3
AMAD09349,36.75,4
AMAD09350,38,4
AMAD09351,29.5,2
AMAD09352,44.5,2
AMAD09353,40,4
AMAD09354,43,2
AMAD09401,26,1
AMAD10101,42,2
AMAD10102,35,2
AMAD10103,40.75,4
AMAD10104,34.333,6
AMAD10105,42,2
AMAD10106,40.143,7
AMAD10107,36.5,2
AMAD10108,44,2
AMAD10109,36,2
AMAD10110,41,4
AMAD10111,37,1
AMAD10112,46.5,2
AMAD10113,35,1
AMAD10114,35.5,2
AMAD10301,37.75,4
AMAD10302,37,3
AMAD10303,42,6
AMAD10304,43.875,16
AMAD10305,27.667,6
AMAD10306,39.889,9
AMAD10307,35.333,12
AMAD10308,36.765,17
AMAD10309,43.308,13
AMAD10310,34,4
AMAD10311,31.5,2
AMAD10312,50,1
AMAD10313,43.6,5
AMAD10314,40,3
AMAD10315,37.6,5
AMAD10316,38.25,8
AMAD10317,43,2
AMAD10318,52,1
AMAD10319,51.5,2
AMAD10320,25.5,2
AMAD10321,36.5,16
AMAD10322,45.3,10
AMAD10323,48,2
AMAD10324,32,2
AMAD10325,37.5,2
AMAD10326,32,1
AMAD10327,45.5,2
AMAD10328,42.5,2
AMAD10329,43.667,3
AMAD10330,42,2
AMAD10331,56.5,2
AMAD10332,36.1,10
AMAD10333,34.5,4
AMAD10334,38.81,21
AMAD10335,35.889,9
AMAD10336,43.333,3
AMAD10337,43,3
AMAD10338,30,1
AMAD10339,46,2
AMAD10340,37,3
AMAD10341,33,1
AMAD10342,35.8,5
AMAD10343,32.5,2
AMAD10344,35.889,9
AMAD10345,40,1
AMAD10346,24.75,4
AMAD10347,28,1
AMAD10401,39.333,6
AMAD10402,32.833,12
AMAD10403,30.4,10
AMAD10404,33.4,5
AMAD11101,50.5,2
AMAD11102,36,3
AMAD11103,34.667,3
AMAD11104,40,1
AMAD11105,43.333,3
AMAD11106,48,7
AMAD11301,35.333,3
AMAD11302,47.333,3
AMAD11303,36.2,5
AMAD11304,49,5
AMAD11305,35.5,2
AMAD11306,38.8,15
AMAD11307,27.5,2
AMAD11308,33.5,2
AMAD11309,52.667,3
AMAD11310,47.8,10
AMAD11311,33.333,6
AMAD11312,30.667,3
AMAD11313,48.333,3
AMAD11314,35.5,2
AMAD11315,35,1
AMAD11316,37,2
AMAD11317,39,2
AMAD11318,38.667,3
AMAD11319,43.1,10
AMAD11320,32,4
AMAD11321,32.556,9
AMAD11322,39.333,6
AMAD11323,40,2
AMAD11324,41.538,13
AMAD11325,38.5,2
AMAD11326,49,3
AMAD11327,43.429,7
AMAD11328,32.5,2
AMAD11329,30.571,7
AMAD11330,44.5,2
AMAD11331,41.25,4
AMAD11332,38.75,4
AMAD11333,42.167,6
AMAD11334,44.25,12
AMAD11335,26.667,6
AMAD11336,43.375,8
AMAD11337,47,5
AMAD11338,32,11
AMAD11339,58.5,2
AMAD11340,35.6,5
AMAD11341,34,2
AMAD11342,29.333,3
AMAD11343,50.444,9
AMAD11344,52.75,4
AMAD11345,49.667,3
AMAD11346,25,1
AMAD11347,44,3
AMAD11348,37.235,17
AMAD11349,33.5,2
AMAD11350,45.167,6
AMAD11351,38.5,2
AMAD11352,31.429,7
AMAD11353,35.778,9
AMAD11354,35.5,2
AMAD11355,44.667,3
AMAD11356,29,2
AMAD11357,37,1
AMAD11358,38.2,5
AMAD11359,25.5,2
AMAD11360,43,1
AMAD11361,33,1
AMAD11362,38.286,7
AMAD11363,38,2
AMAD11364,41.6,10
AMAD11365,36,6
AMAD11366,42.278,18
AMAD11367,41.333,3
AMAD11368,45.556,9
AMAD11369,47,1
AMAD11370,53.5,6
AMAD11371,41.857,7
AMAD11372,41,1
AMAD11373,33.667,3
AMAD12101,33.5,2
AMAD12102,42.571,7
AMAD12103,38.375,8
AMAD12104,44,1
AMAD12105,42.333,3
AMAD12106,44,6
AMAD12107,50.6,5
AMAD12108,38,5
AMAD12109,49.25,4
AMAD12110,34,4
AMAD12111,28.25,4
AMAD12301,40.2,20
AMAD12302,42,2
AMAD12303,41.5,2
AMAD12304,39.867,15
AMAD12305,34.5,4
AMAD12306,55.333,3
AMAD12307,37.5,2
AMAD12308,34.933,15
AMAD12309,39.833,6
AMAD12310,45.5,4
AMAD12311,55,2
AMAD12312,43,2
AMAD12313,37.636,11
AMAD12314,34,5
AMAD12315,52.667,3
AMAD12316,32.5,2
AMAD12317,39,4
AMAD12318,41,9
AMAD12319,41,2
AMAD12320,36.556,9
AMAD12321,41.579,19
AMAD12322,39.857,7
AMAD12323,28,1
AMAD12324,26.667,3
AMAD12325,38.6,5
AMAD12326,23.5,2
AMAD12327,54.667,3
AMAD12328,30.5,4
AMAD12329,44,1
AMAD12330,35.333,3
AMAD12331,39.25,8
AMAD12332,43.2,5
AMAD12333,38,5
AMAD12334,29,1
AMAD12335,35,1
AMAD12336,40.25,4
AMAD12337,40.333,6
AMAD12338,44,7
AMAD12339,35,3
AMAD12340,43.333,3
AMAD12341,44.667,6
AMAD12342,31.25,8
AMAD12343,25,1
AMAD12344,44,2
AMAD12345,42.5,6
AMAD12346,52.4,5
AMAD12347,38.111,9
AMAD12348,38.389,18
AMAD12349,33,3
AMAD12350,23.75,4
AMAD12351,46,2
AMAD12352,32,1
AMAD12401,38,2
AMAD12402,39.25,4
AMAD13101,45.5,2
AMAD13102,42.857,7
AMAD13103,48,2
AMAD13104,38.5,2
AMAD13105,51.5,8
AMAD13106,37,2
AMAD13107,31.143,7
AMAD13108,36.5,2
AMAD13109,40.5,2
AMAD13110,33.5,2
AMAD13111,47,2
AMAD13112,37.125,8
AMAD13113,43,2
AMAD13114,35.2,5
AMAD13115,58,2
AMAD13301,38.75,8
AMAD13302,32.667,3
AMAD13303,34,2
AMAD13304,35.75,4
AMAD13305,40.8,15
AMAD13306,34,2
AMAD13307,40.933,15
AMAD13308,25.333,3
AMAD13309,50.077,13
AMAD13310,39.167,6
AMAD13311,48.737,19
AMAD13312,45,1
AMAD13313,41,1
AMAD13314,33.083,12
AMAD13315,38.333,3
AMAD13316,40.5,4
AMAD13317,32.444,9
AMAD13318,52,1
AMAD13319,37.214,14
AMAD13320,28,2
AMAD13321,46.667,3
AMAD13322,34,7
AMAD13323,46.333,3
AMAD13324,54,3
AMAD13325,50.5,2
AMAD13326,38.25,4
AMAD13327,36.222,9
AMAD13328,32,4
AMAD13329,35.8,5
AMAD13330,39.4,15
AMAD13331,45.4,5
AMAD13332,38,3
AMAD13333,50,1
AMAD13334,49.333,3
AMAD13335,44,2
AMAD13336,36.636,22
AMAD13337,45.333,3
AMAD13338,34.818,11
AMAD13339,42.636,11
AMAD13340,39.444,9
AMAD13341,38.5,2
AMAD13342,41,1
AMAD13343,43.111,9
AMAD13344,37.333,3
AMAD13345,47.4,10
AMAD13346,37.667,6
AMAD13347,41.429,7
AMAD13348,38.417,12
AMAD13349,41.6,5
AMAD13350,33,2
AMAD13351,39,5
AMAD13401,45.5,2
AMAD13402,45,1
AMAD14101,33,3
AMAD14102,21,1
AMAD14103,39.75,4
AMAD14104,42.111,9
AMAD14105,41,6
AMAD14301,46.25,4
AMAD14302,34.556,9
AMAD14303,39.333,3
AMAD14304,53.667,3
AMAD14305,40.077,13
AMAD14306,34,2
AMAD14307,29,6
AMAD14308,38,2
AMAD14309,42.083,12
AMAD14310,49.5,4
AMAD14311,57,2
AMAD14312,47,8
AMAD14313,24.667,3
AMAD14314,43.143,7
AMAD14315,55.333,3
AMAD14316,41.111,9
AMAD14317,38.727,11
AMAD14318,40.5,14
AMAD14319,40.3,10
AMAD14320,38.714,7
AMAD14321,47.5,4
AMAD14322,40.273,11
AMAD14323,40.524,21
AMAD14324,48.375,8
AMAD14325,34.667,3
AMAD14326,45.5,2
AMAD14327,44.333,3
AMAD14328,40,6
AMAD14329,46.6,5
AMAD14330,40.867,15
AMAD14331,24.5,2
AMAD14332,39.286,7
AMAD14333,27,1
AMAD14334,43.75,8
AMAD14335,51,5
AMAD14336,52,1
AMAD14337,39.8,5
AMAD14338,38.111,9
AMAD14339,43.28,25
AMAD14340,38.222,9
AMAD14341,38.889,9
AMAD14342,31.4,10
AMAD14343,49.125,8
AMAD14344,33.571,7
AMAD14345,38,3
